model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M1,2718,audio,early,0.3,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6223776223776224,0.5522091275792481,0.5907249945177628,0.5863494181756412,0.645165554069823,-0.0019473647133563254,-0.00048280386140220344
M1,31415,audio,early,0.3,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6153846153846154,0.5385745554186517,0.5799107364439469,0.6360331707640544,0.6432344153652311,0.007411970888898223,-0.0009376768932932711
M0,1729,audio,middle,0.1,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6363636363636364,0.6034128110989879,0.6307882849612106,0.6141171349925673,0.6362143280157891,-0.003015357560530507,-0.002922285020911519
M0,2718,audio,middle,0.1,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6265734265734266,0.5788322233574391,0.6099955425631294,0.584933156321978,0.6521237801875596,0.0058280583950522935,-0.00012853010573876666
M0,31415,audio,middle,0.1,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6139860139860139,0.5484320778192512,0.5859852337686067,0.6279625106010247,0.6379395610485812,-0.0002157066182164602,-0.003277106870656188
M1,1729,audio,middle,0.1,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6335664335664336,0.6047278540358413,0.6296598361311401,0.5957421386083653,0.6414866405729227,-0.005396714601962005,-0.0006870321893635012
M1,2718,audio,middle,0.1,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6195804195804195,0.5493943316879227,0.5880989813959502,0.5864190940899853,0.6451148222188103,0.000867431177969058,-0.00041312794705816724
M1,31415,audio,middle,0.1,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6195804195804195,0.5488257692394604,0.5875652281565505,0.6349911192044537,0.6431455786252563,-0.0028392429319104018,-0.0019797284528939585
M0,1729,audio,middle,0.2,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6335664335664336,0.60160213032329,0.6285310815974684,0.6119309581070487,0.6381037544946574,-0.0012046767848326034,-0.005108461906430106
M0,2718,audio,middle,0.2,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6251748251748251,0.5772961250471472,0.608674283177354,0.5853150012127899,0.6525766653455268,0.0073641567053441825,0.0002533147850731776
M0,31415,audio,middle,0.2,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6181818181818182,0.5548833751510082,0.5913291392187404,0.6268525556540703,0.6390270858416001,-0.006667003949973438,-0.004387061817610616
M1,1729,audio,middle,0.2,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6321678321678321,0.6035696596166087,0.6286599248986392,0.5962102043553145,0.6417176053276139,-0.0042385201827294106,-0.00021896644241437002
